	Sobic	Seita	Ortho	Orysa	Bradi	Pavag	Zmays
SynPair57698	0.12412304692144878	0.1159554489697184	0.04580033980623694	0.10903007384822506	0.1267223496650536	0.11298694730647393	0.12084741041263403
SynPair1042	0.11013195827535718	0.16322758386329433	0.2489976918743071	0.08039171202453918	0.06154248403383166	0.151098845960863	0.5924690599490916
SynPair11329	0.1312653124969497	0.06245201701750253	0.10088719763980465	0.2940010952357246	0.17137363916082607	0.40736156793598044	0.00010043185698503564
SynPair10173	0.21240852720606407	0.18323259117327004	0.28768073184282955	0.13677495855337557	0.19246564103001254	0.28643335032827993	0.22964980451512162
SynPair41132	0.05733244995800489	0.01691029181982482	0.049850517972606555	0.05849021519020967	0.023262311003465187	0.02487351928754303	0.07399627758574848
SynPair63370	0.2062268148894704	0.03836759556565031	0.057697172716408014	0.09329368310243182	0.16067816008575733	0.07367675859467449	0.28607553314752765
SynPair21663	0.060328537783214356	0.3931157995893942	0.17164791668764917	0.034950223660192264	0.2638171465484967	0.14644412933226025	0.7533981665705944
SynPair43163	0.15287960857074456	0.41555058731679617	0.1516551673088386	1.5086411739478167	0.10012042376897914	0.4365676062370707	0.17056339047343386
SynPair39388	0.4107609903654124	0.11515045608639429	0.19150405051802213	0.12255088224433111	0.15371877403943482	0.04870552812424434	0.14450631189696944
SynPair9394	0.07023042982936485	0.08821569759694399	0.15484811744273683	0.13115596785074002	0.17071365410278622	0.09028939799356894	0.3080541244161498
SynPair44066	0.07085931340930267	0.06304309884332839	0.23059326945605665	0.0688025186596366	0.10339169033738042	0.09836682406112503	0.26498020008336803
SynPair27940	0.14172798480892476	0.20607588219686918	0.11229943191202271	0.18325314957597147	0.24424335248193027	0.14588694472926936	0.17191246191841075
SynPair9038	0.18972332015810275	0.0620747724756623	0.07108938307065411	0.09795085472696392	0.14843016747582652	0.11067335561011495	0.17051693575432375
SynPair18109	0.3560502365343515	0.15224893459329258	0.31353291111742393	0.17917424128665768	0.20397416752019143	0.20537240117821842	0.2436309335264039
